a little	một chút
look	nhìn; cái nhìn
look after	trông nom, chăm sóc
look at	nhìn, ngắm, xem
look for	tìm kiếm
look forward to	mong đợi cách hân
loosely	lỏng lẻo
loosely spread concrete 	bê tông chưa đầm, bê tông đổ dối 
lord	chúa, vua
lorry	xe tải
lose	mất, thua, lạc
loss	sự mất, sự thua
loss due to concrete instant deformation due to non-simultaneous prestressing of several strands	mất mát dự ứng suất do biến dạng tức thời của bê tông khi kéo căng các cáp
loss due to concrete shrinkage	mất mát do co ngót bê tông
lost	thua, mất
lost due to relaxation of prestressing steel	mất mát do từ biến bê tông
lost due to relaxation of prestressing steel	mất mát do tự chùng cốt thép dự ứng lực
lot	số lượng lớn; rất nhiều
loud	to, inh ỏi, ầm ĩ; to, lớn
loudly	ầm ĩ, inh ỏi
love	tình yêu, lòng yêu thương; yêu, thích
lovely	đẹp, xinh xắn, có duyên
lover	người yêu, người tình
low	thấp, bé, lùn
low alloy steel	thép hợp kim thấp
low relaxation steel	thép có độ tự chùng rất thấp
low slump concrete 	vữa bê tông có độ sụt hình nón thấp, vữa bê tông khô 
low-grade concrete resistance	bê tông mác thấp
lower reinforcement layer	lớp cốt thép bên dưới
loyal	trung thành, trung kiên
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	hành lý
lump	cục, tảng, miếng; cái bướu
lump load 	sự chất tải đã kết tảng; tải vón cục; tải trọng tập trung 
lunch	bữa ăn trưa
lung	phổi
machinability test	sự thử khả năng máy 
machine	máy, máy móc
machine-placed concrete 	bê tông đổ bằng máy
machinery	máy móc, thiết bị
machining test	sự thử tính gia công trên máy 
mad	điên, mất trí; bực điên người
magazine	tạp chí
magic	ma thuật, ảo thuật;  ma thuật, ảo thuật
mail	thư từ, bưu kiện; gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
main beam 	dầm chính; chùm (tia) chính 
main girder 	dầm chính, dầm cái; xà chính, xà cái 
main reinforcement parallel to traffic	cốt thép chủ song song hướng xe chạy
main reinforcement perpendicular to traffic	cốt thép chủ vuông góc hướng xe chạy
mainly	chính, chủ yếu, phần lớn
maintain	giữ gìn, duy trì, bảo vệ
major	lớn, nhiều hơn, trọng đại, chủ yếu
majority	phần lớn, đa số, ưu thế
make	làm, chế tạo; sự chế tạo
make fun of	đùa cợt, chế giễu, chế nhạo
make sth up	làm thành, cấu thành, gộp thành
make sure	chắc chắn, làm cho chắc chắn
make-up	đồ hóa trang, son phấn
male	trai, trống, đực; con trai, đàn ông, con trống, đực
mall	búa
mallet 	cái vồ (thợ nề)
man	con người; đàn ông
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
management meeting 	họp quản lý, họp điều độ
manager	người quản lý, giám đốc
manner	cách, lối, kiểu; dáng, vẻ, thái độ
manufacturer	người chế tạo, người sản xuất
manufacturing	sự sản xuất, sự chế tạo
many	nhiều
map	bản đồ
march	tháng ba
march	diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
mark	dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
market	chợ, thị trường
marketing	ma-kết-tinh
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	cưới
masonry bonds 	các cách xây
mass	khối, khối lượng; quần chúng, đại chúng
mass concrete 	bê tông liền khối, bê tông không cốt thép 
massive	to lớn, đồ sộ
master	chủ, chủ nhân, thầy giáo, thạc sĩ
match	trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matched load 	tải trọng được thích ứng 
matching	tính địch thù, thi đấu
mate	bạn, bạn nghề; giao phối
material	nguyên vật liệu; vật chất, hữu hình
mathematics	toán học, môn toán
matter	chất, vật chất; có ý nghĩa, có tính chất quan trọng
matured concrete 	bê tông đã cứng 
maximum	cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
may	tháng 5
may modal	có thể, có lẽ
maybe	có thể, có lẽ
mayor	thị trưởng
me	tôi, tao, tớ
meal	bữa ăn
mean	nghĩa, có nghĩa là
meaning	ý, ý nghĩa
means	của cải, tài sản, phương tiện
meanwhile	trong lúc đó, trong lúc ấy
measure	đo, đo lường; sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
media	phương tiện truyền thông đại chúng
medical	y học
medicine	y học, y khoa; thuốc
medium	trung bình, trung, vừa; sự trung gian, sự môi giới
medium relaxation steel	cốt thép có độ tự chùng bình thường
meet	gặp, gặp gỡ
meeting	cuộc mít tinh, cuộc biểu tình
melt	tan ra, chảy ra; làm tan chảy ra
member	thành viên, hội viên
member with minimum reinforcement	cấu kiện có hàm lượng cốt thép tối thiểu
membership	tư cách hội viên, địa vị hội viên
memory	bộ nhớ, trí nhớ, kỉ niệm
mental	trí tuệ, trí óc; mất trí
mentally	về mặt tinh thần
mention	kể ra, nói đến, đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ, đơn thuần
mesh reinforcement 	cốt (thép) lưới 
mess	tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message	tin nhắn, thư tín, điện thông báo, thông điệp
metal	kim loại
metal shell	vỏ thép
method	phương pháp, cách thức
method of concrete curing	phương pháp dưỡng hộ bê tông
metre	mét
mid- combining form	tiền tố: một nửa
midday	trưa, buổi trưa
middle	giữa, ở giữa
middle girder 	dầm giữa, xà giữa 
midnight	nửa đêm, 12h đêm
midship beam 	dầm giữa tàu 
might modal	qk. may có thể, có lẽ
mild	nhẹ, êm dịu, ôn hòa
mild steel 	thép non (thép than thấp)
mile	dặm
military	quân đội, quân sự
milk	sữa
milligram	mi-li-gam
millimetre	mi-li-met
mind	tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	công nhân, thợ mỏ; khoáng
minimum	tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minor load 	tải trọng sơ bộ (trong máy thử độ cứng) 
minority	phần ít, thiểu số
minute	phút
mirror	gương
miscellaneous load 	tải trọng hỗn hợp 
miss	lỡ, trượt; sự trượt, sự thiếu vắng
miss	cô gái, thiếu nữ
missing	vắng, thiếu, thất lạc
mistake	lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	pha, trộn lẫn; sự pha trộn
mix proportion	tỷ lệ pha trộn hỗn hợp bê tông
mixed	lẫn lộn, pha trộn
mixer operator 	công nhân đứng máy trộn vữa bê tông
mixing drum 	trống trộn bê tông
mixture	sự pha trộn, sự hỗn hợp
mobile	chuyển động, di động
mobile load 	tải trọng di động 
mobile phone	điện thoại đi động
model	mẫu, kiểu mẫu
model test	sự thử trên mô hình 
modern	hiện đại, tân tiến
modular ratio	tỷ số của các mô dun đàn hồi thép-bê tông
modular ratio	tỷ số của các mô dun đàn hồi thép-bê tông
modulus of elasticity 	môđun đàn hồi
moment	chốc, lát
momentary load 	tải trọng trong thời gian ngắn, tải trọng tạm thời
monday	thứ 2
money	tiền
monitor	lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
monitoring test	sự thử kiểm tra 
monolayer reinforcement 	cốt (thép) một lớp 
monolithic concrete 	bê tông liền khối 
month	tháng
mood	lối, thức, điệu
moon	mặt trăng
moral	đạo đức, luân lý, phẩm hạnh; có đạo đứcmorally adv. có đạo đức
more	hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
mortar 	vữa
mortar pan (mortar trough, mortar tub) 	thùng vữa
most	lớn nhất, nhiều nhất; nhất, hơn cả
most efficient load 	công suất khi hiệu suất lớn nhất (tuabin) 
mostly	hầu hết, chủ yếu là
motar trough 	chậu vữa
mother	mẹ
motion	sự chuyển động, sụ di động
motor	động cơ mô tô
motorcycle	xe mô tô
mount	leo, trèo; núi
mountain	núi
mouse	chuột
mouth	miệng
movable casting	thiết bị di động đổ bê tông
movable form, travling form	ván khuôn di động
movable load 	tải trọng di động 
movable rest beam 	dầm có gối tựa di động 
move	di chuyển, chuyển động; sự di chuyển, sự chuyển động
movement	sự chuyển động, sự hoạt động; cử động, động tác
movie	phim xi nê
movie theater	rạp chiếu phim
moving	động, hoạt động
moving load 	tải trọng động 
much	nhiều, lắm
mud	bùn
multilayer reinforcement 	cốt (thép) nhiều lớp 
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
multispan beam 	dầm nhiều nhịp 
mum	mẹ
mum	mẹ
murder	tội giết người, tội ám sát; giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
music	nhạc, âm nhạc
musical	nhạc, âm nhạc; du dương, êm ái
musician	nhạc sĩ
must modal	phải, cần, nên làm
my	của tôi
myself	tự tôi, chính tôi
mysterious	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng  móng vuốt
nailable concrete 	bê tông đóng đinh được 
naked	trần, khỏa thân, trơ trụi
name	tên; đặt tên, gọi tên
narrow	hẹp, chật hẹp
nation	dân tộc, quốc gia
national	quốc gia, dân tộc
natural	tự nhiên, thiên nhiên
natural condition test	sự thử trong điều kiện tự nhiên 
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
near	gần, cận; ở gần
nearby	gần
nearly	gần, sắp, suýt
neat	sạch, ngăn nắp; rành mạch
neatly	gọn gàng, ngăn nắp
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
neck	cổ
need modal	cần, đòi hỏi; sự cần
needle	cái kim, mũi nhọn
needle beam 	dầm kim
negative	phủ định
negative moment reinforcement	cốt (thép) chịu mômen âm 
neighbour	hàng xóm
neighbourhood	hàng xóm, làng giềng
neither	không này mà cũng không kia
nephew	cháu trai
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	tổ, ổ; làm tổ
net	lưới, mạng
net load 	tải trọng có ích, trọng lượng có ích 
network	mạng lưới, hệ thống
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
new	mới, mới mẻ, mới lạ
newly	mới
news	tin, tin tức
newspaper	báo
next	sát, gần, bên cạnh; lần sau, tiếp nữa
next to	gần
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
no exclamation,	không
no-slump concrete 	bê tông cứng (bê tông có độ sụt=0) 
nobody	không ai, không người nào
nodulation test	sự thử khả năng hình thành nốt sần 
noise	tiếng ồn, sự huyên náo
noisily	ồn ào, huyên náo
noisy	ồn ào, huyên náo
nomal load 	tải trọng bình thường 
non reactive load 	tải trọng không gây phản lực, tải thuần trở (điện) 
non-central load 	tải trọng lệch tâm 
non-destructive test	sự thử không phá hủy (mẫu thử) 
non-fines concrete 	bê tông hạt thô
non-prestressed reinforcement	cốt thép thường (không dự ứng lực)
non-uniform beam 	dầm tiết diện không đều 
none	không ai, không người, vật gì
nonsense	lời nói vô lý, vô nghĩa
nor	cũng không
normal	thường, bình thường; tình trạng bình thường
normal relaxation steel	thép có độ tự chùng thông thường
normal weight concrete, ordinary structural concrete	bê tông trọng lượng thông thường
normally	thông thường, như thường lệ
north	phía bắc, phương bắc
northern	bắc
nose	mũi
not	không
notched bar bending test	sự thử uốn mẫu bị cắt 
notched bar test	sự thử mẫu bị cắt 
note	lời ghi, lời ghi chép; ghi chú, ghi chép
nothing	không gì, không cái gì
notice	thông báo, yết thị; chú ý, để ý, nhận biết
notice 	thông báo
noticeable	đáng chú ý, đáng để ý
novel	tiểu thuyết, truyện
november	tháng 11
now	bây giờ, hiện giờ, hiện nay
nowhere	không nơi nào, không ở đâu
nuclear	hạt nhân
number	số
nurse	quả hạch; đầu
obey	vâng lời, tuân theo, tuân lệnh
object	vật, vật thể; phản đối, chống lại
objective	mục tiêu, mục đích;  mục tiêu, khách quan
oblique angled load 	tải trọng xiên, tải trọng lệch 
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	dịp, cơ hội
occasionally	thỉnh thoảng, đôi khi
occupied	đang sử dụng, đầy
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
odd	kỳ quặc, kỳ cục, lẻ
oddly	kỳ quặc, kỳ cục, lẻ
of	của
of course	dĩ nhiên
of laminated steel	bằng thép cán
off	tắt; khỏi, cách, rời
off-form concrete 	bê tông trong ván khuôn
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	chính quyền, văn phòng; viên chức, công chức
officially	một cách trịnh trọng, một cách chính thức
often	thường, hay, luôn
oh exclamation	chao, ôi chao, chà, này..
oil	dầu
ok  exclamation,	đồng ý, tán thành
old	già
old-fashioned	lỗi thời
on	trên, ở trên; tiếp tục, tiếp diễn
on behalf of sb	thay mặt cho ai, nhân danh ai
on board	trên tàu thủy
on purpose	cố tình, cố ý, có chủ tâm
on sb’s behalf	nhân danh cá nhân ai
on-load test	sự thử trên đường 
once	một lần; khi mà, ngay khi, một khi
one number,	một; một người, một vật nào đó
onion	củ hành
online test	sự thử trên đường dây 
only	chỉ có 1, duy nhất; chỉ, mới
onto	về phía trên, lên trên
open	mở, ngỏ; mở, bắt đầu, khai mạc
opening	khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
operate	hoạt động, điều khiển
operating load 	tải trọng làm việc 
operation	sự hoạt động, quá trình hoạt động
operation test	sự thử trong vận hành, sự thử trong thao tác, sự thử trong điều kiện sử dụng 
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
opposed to	chống lại, phản đối
opposing	tính đối kháng, đối chọi
opposite	đối nhau, ngược nhau; trước mặt, đối diện; điều
opposition	sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối
optimum load 	tải trọng tối ưu 
option	sự lựa chọn
orange	quả cam; có màu da cam
order	thứ, bậc; ra lệnh
ordinary	thường, thông thường
organ	đàn óoc gan
organization	tổ chức, cơ quan; sự tổ chức
organize	tổ chức, thiết lập
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origin	gốc, nguồn gốc, căn nguyên
original	gốc, nguồn gốc, căn nguyên; nguyên bản
originally	một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
oscillating beam 	đòn dao động, đòn lắc 
oscillating load 	tải (trọng) dao động 
other	khác
other contractors 	các nhà thầu khác
otherwise	khác, cách khác; nếu không thì...; mặt khác
ought to modal	phải, nên, hẳn là
our	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ours	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ourselves	bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
out	ngoài, ở ngoài, ra ngoài
outdoor	ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outline	vẽ, phác tảo; đường nét, hình dáng, nét ngoài
output	sự sản xuất; sản phẩm, sản lượng
outside	bề ngoài, bên ngoài; ở ngoài; ngoài
outside cellar steps 	cửa sổ buồng công trình phụ
outstanding	nổi bật, đáng chú ý; còn tồn lại
oven	lò
over	bên trên, vượt qua; lên, lên trên
over-reinforced concrete	bê tông có quá nhiều cốt thép
overall	toàn bộ, toàn thể; tất cả, bao gồm
overall depth of member	chiều cao toàn bộ của cấu kiện
overall factor of safety 	hệ số an toàn tổng thể
overcome	thắng, chiến thắng, khắc phục, đánh bại
overlap	nối chồng
overload test	sự thử quá tải 
owe	nợ, hàm ơn; có được
own	của chính mình, tự mình; nhận, nhìn nhận
owner	người chủ, chủ nhân
oxidation test	sự thử oxi hóa 
o’clock	đúng giờ
p.m.	quá trưa, chiều, tối
pace	bước chân, bước
pack	gói, bọc; bó, gói
package	gói đồ, bưu kiện; đóng gói, đóng kiện
packaging	bao bì
packet	gói nhỏ
page	trang
pain	sự đau đớn, sự đau khổ
painful	đau đớn, đau khổ
paint	sơn, vôi màu; sơn, quét sơn
painter	họa sĩ
painting	sự sơn; bức họa, bức tranh
pair	đôi, cặp
palace	cung điện, lâu đài
pale	taí, nhợt
pan	xoong, chảo
panel	ván ô , pa nô
panel girder 	dầm tấm, dầm panen 
pants	quần lót, đùi
paper	giấy
parabolic girder 	dầm dạng parabôn 
parallel	song song, tương đương
parallel girder 	dầm song song 
parapet	thanh nằm ngang song song của rào chắn bảo vệ trên cầu (tay vịn lan can cầu)
parent	cha, mẹ
park	công viên, vườn hoa; khoanh vùng thành công viên
parliament	nghi viện, quốc hội
parobolic arch	cuốn parabôn
part	phần, bộ phận
partial load 	tải trọng từng phần 
partial prestressing 	kéo căng cốt thép từng phần
particular	riêng biệt, cá biệt
particularly	một cách đặc biệt, cá biệt, riêng biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đối tác, cộng sự
partnership	sự chung phần, sự cộng tác
party	tiệc, buổi liên hoan; đảng
pass	qua, vượt qua, ngang qua
passage	sự đi qua, sự trôi qua; hành lang
passenger	hành khách
passing	sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passport	hộ chiếu
past	quá khứ, dĩ vãng; quá, qua
path	đường mòn; hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern	mẫu, khuôn mẫu
pause	tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
pay	trả, thanh toán, nộp; tiền lương
pay(ing) load 	tải trọng có ích 
payment	sự trả tiền, số tiền trả, tiền bồi thường
payment certificate 	chứng nhận thanh toán
payment upon termination 	thanh toán khi chấm dứt hợp đồng
peace	hòa bình, sự hòa thuận
peaceful	hòa bình, thái bình, yên tĩnh
peak	lưỡi trai; đỉnh, chóp
peak load 	tải trọng cao điểm 
pen	bút
pence	đồng xu
pencil	bút chì
penetration test	sự thử độ thấm; sự thử độ xuyên (hàn) 
penny	đồng xu
penny	số tiền
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống; người
pepper	hạt tiêu, cây ớt
per	cho mỗi
per cent	phần trăm
percussion test	sự thử va đập 
perfect	hoàn hảo
perfectly	một cách hoàn hảo
perfomance test	sự thử vận hành 
perforated cylindrical anchor head	đầu neo hình trụ có khoan lỗ
perform	biểu diễn; làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perfume concrete 	tinh dầu hương liệu 
perhaps	có thể, có lẽ
perimeter of bar	chu vi thanh cốt thép 
period	kỳ, thời kỳ, thời gian; thời đại
periodic load 	tải trọng tuần hoàn 
permanent	lâu dài, vĩnh cửu, thường xuyên
permanent load 	tải trọng không đổi; tải trọng thường xuyên 
permanently	cách thường xuyên, vĩnh cửu
permeable concrete 	bê tông không thấm 
permissible load 	tải trọng cho phép 
permission	sự cho phép, giấy phép
permit	cho phép, cho cơ hội
person	con người, người
personal	cá nhân, tư, riêng tư
personality	nhân cách, tính cách; nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
personnel 	nhân sự 
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	xăng dầu
phantom load 	tải trọng giả 
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	triết học, triết lý
photocopy	bản sao chụp; sao chụp
photograph	ảnh, bức ảnh; chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu; thành ngữ, cụm từ
physical	vật chất;  cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc
pick sth up	cuốc, vỡ, xé
picture	bức vẽ, bức họa
piece	mảnh, mẩu; đồng tiền
pig	con lợn
pile	cọc, chồng, đống, pin; đóng cọc, chất chồng
pile bottom level	cao độ chân cọc
pile cross sectional area 	tiết diện ngang cọc
pile foundation	móng cọc
pile shaft area 	diện tích xung quanh cọc
pile shoe	phần bọc thép gia cố mũi cọc
pill	viên thuốc
pilot	phi công
pin	đinh ghim; ghim., kẹp
pink	màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	panh
pint	panh
pipe	ống dẫn
pitch	sân ; đầu hắc ín
pity	lòng thương hại, điều đáng tiếc, đáng thương
place	nơi, địa điểm; quảng trường
plain	ngay thẳng, đơn giản, chất phác
plain bar	thép trơn
plain concrete 	bê tông không cốt thép, bê tông thường 
plain concrete, unreinforced concrete	bê tông không cốt thép
plain girder 	dầm khối 
plain round bar	cốt thép tròn trơn
plan	bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
plane	mặt phẳng, mặt bằng
plane girder 	dầm phẳng 
planet	hành tinh
plank platform (board platform) 	sàn lát ván
planning	sự lập kế hoạch, sự quy hoạch
plant	thực vật, sự mọc lên; trồng, gieo
plaster	thạch cao
plaster concrete 	bê tông thạch cao 
plastic	chất dẻo, làm bằng chất dẻo
plastic concrete 	bê tông dẻo
plate	bản, tấm kim loại
plate	thép bản
plate bearing	gối bản thép
plate girder 	dầm phẳng, dầm tấm 
plate load 	tải anôt 
plate steel	thép bản
platform	nền, bục, bệ; thềm, sân ga
platform railing 	lan can/tay vịn sàn (bảo hộ lao động)
play	chơi, đánh; sự vui chơi, trò chơi, trận đấu
player	người chơi 1 trò chơi nào đó
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương; thân mật
please exclamation,	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleased	hài lòng
pleasing	mang lại niềm vui thích; dễ chịu
pleasure	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty	nhiều ; chỉ sự thừa; sự sung túc, sự p.phú
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút
plumb bob (plummet) 	dây dọi, quả dọi (bằng chì)
plus	cộng với ; dấu cộng; cộng, thêm vào
plywood	gỗ dán (ván khuôn)
pocket	túi , túi tiền
poem	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm
point load 	tải trọng tập trung 
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người ba lan; cực
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pony girder 	dầm phụ 
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
poor concrete 	bê tông nghèo, bê tông gày 
pop	tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	có tính đại chúng,  nhân dân; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
porosity	độ xốp rỗng (của bê tông)
port	cảng
portland cement concrete	bê tông xi măng pooclan 
portland-cement, portland concrete	bê tông ximăng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possession of the site 	sở hữu công trường
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện; gửi thư
post office	bưu điện
post stressed reinforcement 	cốt (thép) ứng lực sau 
post-stressed concrete 	bê tông ứng lực sau 
post-tensioned concrete 	bê tông ứng lực sau 
posttensioning (apres betonage)	phương pháp kéo căng sau khi đổ bê tông
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
pre-operational test	sự thử trước vận hành 
pre-production test	sự thử trước sản xuất, sự thử trước khi đưa vào sản xuất 
pre-stressed reinforcement 	cốt (thép) ứng lực trước 
precast concrete	bê tông đúc sẵn
precast concrete 	bê tông đúc sẵn 
precast concrete pile	cọc bê tông đúc sẵn
precasting yard	xưởng đúc sẵn kết cấu bê tông
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefabricated concrete 	bê tông đúc sẵn 
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
preliminary test	sự thử sơ bộ 
premises	biệt thự
prepact concrete 	bê tông đúc từng khối riêng 
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
pressure load 	tải trọng nén 
prestressed concrete	bê tông cốt thép dự ứng lực
prestressed concrete 	bê tông ứng lực trước 
prestressed concrete pile	cọc bê tông cốt thép dự ứng lực
prestressed girder 	dầm dự ứng lực 
prestressing bed	bệ kéo căng cốt thép dự ứng lực
prestressing by stages	kéo căng cốt thép theo từng giai đoạn
prestressing steel	thép dự ứng suất
prestressing steel, cable	cốt thép dự ứng lực
prestressing teel strand	cáp thép dự ứng lực
prestressing time	thời điểm kéo căng cốt thép
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretensioning (avant betonage)	phương pháp kéo căng trước khi đổ bê tông
pretty	khá, vừa phải; xinh, xinh xắn;, đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng, hấp tấp; trước , ưu tiên
previously	trước, trước đây
price	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
price adjustment 	điều chỉnh giá
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime minister	thủ tướng
prince	hoành tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
printing beam 	(máy tính) chùm tia in 
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
private	cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
